CustomerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Gender,SeniorCitizen,Partner,Dependents,MultipleLines
0002-ORFBO,2019-05-01,No,One year,Yes,Mailed check,65.6,593.3,DSL,No,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,No
0003-MKNFE,2019-05-01,No,Month-to-month,No,Mailed check,59.9,542.4,DSL,No,No,No,No,No,Yes,Male,0,No,No,Yes
0004-TLHLJ,2019-09-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,73.9,280.85,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,No
0011-IGKFF,2018-12-01,2020-01-01 00:00:00,Month-to-month,Yes,Electronic check,98.0,1237.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,No
0013-EXCHZ,2019-09-01,2019-12-01 00:00:00,Month-to-month,Yes,Mailed check,83.9,267.4,Fiber optic,No,No,No,Yes,Yes,No,Female,1,Yes,No,No
0013-MHZWF,2019-05-01,No,Month-to-month,Yes,Credit card (automatic),69.4,571.45,DSL,No,No,No,Yes,Yes,Yes,Female,0,No,Yes,No
0013-SMEOE,2014-03-01,No,Two year,Yes,Bank transfer (automatic),109.7,7904.25,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,No
0014-BMAQU,2014-11-01,No,Two year,Yes,Credit card (automatic),84.65,5377.8,Fiber optic,Yes,No,No,Yes,No,No,Male,0,Yes,No,Yes
0015-UOCOJ,2019-07-01,No,Month-to-month,Yes,Electronic check,48.2,340.35,DSL,Yes,No,No,No,No,No,Female,1,No,No,No
0016-QLJIS,2014-09-01,No,Two year,Yes,Mailed check,90.45,5957.9,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes
0017-DINOC,2015-08-01,No,Two year,No,Credit card (automatic),45.2,2460.55,DSL,Yes,No,No,Yes,Yes,No,Male,0,No,No,
0017-IUDMW,2014-02-01,No,Two year,Yes,Credit card (automatic),116.8,8456.75,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes
0018-NYROU,2019-09-01,No,Month-to-month,Yes,Electronic check,68.95,351.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No
0019-EFAEP,2014-02-01,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,Fiber optic,Yes,Yes,Yes,No,Yes,No,Female,0,No,No,Yes
0019-GFNTW,2015-06-01,No,Two year,No,Bank transfer (automatic),45.05,2560.1,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,No,No,
0020-INWCK,2014-03-01,No,Two year,Yes,Credit card (automatic),95.75,6849.4,Fiber optic,No,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,Yes
0020-JDNXP,2017-04-01,No,One year,No,Mailed check,61.25,1993.2,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,
0021-IKXGC,2020-01-01,No,Month-to-month,Yes,Electronic check,72.1,72.1,Fiber optic,No,No,No,No,No,No,Female,1,No,No,Yes
0022-TCJCI,2016-03-01,2019-12-01 00:00:00,One year,No,Credit card (automatic),62.7,2791.5,DSL,Yes,No,Yes,No,No,Yes,Male,1,No,No,No
0023-HGHWL,2019-10-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic check,25.1,25.1,DSL,No,No,No,No,No,No,Male,1,No,No,
0023-UYUPN,2015-12-01,No,One year,No,Electronic check,25.2,1306.3,,,,,,,,Female,1,Yes,No,Yes
0023-XUOPT,2018-10-01,2019-11-01 00:00:00,Month-to-month,No,Electronic check,94.1,1215.6,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,Yes,No,Yes
0027-KWYKW,2018-03-01,No,Month-to-month,Yes,Electronic check,83.75,1849.95,Fiber optic,No,No,No,No,Yes,No,Female,0,Yes,Yes,Yes
0030-FNXPP,2019-11-01,No,Month-to-month,No,Mailed check,19.85,57.2,,,,,,,,Female,0,No,No,No
0031-PVLZI,2019-09-01,2020-01-01 00:00:00,Month-to-month,No,Mailed check,20.35,76.35,,,,,,,,Female,0,Yes,Yes,No
0032-PGELS,2019-10-01,2019-11-01 00:00:00,Month-to-month,No,Bank transfer (automatic),30.5,30.5,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,
0036-IHMOT,2015-07-01,No,One year,Yes,Bank transfer (automatic),103.7,5656.75,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No
0040-HALCW,2015-08-01,No,Two year,No,Credit card (automatic),20.4,1090.6,,,,,,,,Male,0,Yes,Yes,No
0042-JVWOJ,2017-12-01,No,One year,Yes,Bank transfer (automatic),19.6,471.85,,,,,,,,Male,0,No,No,No
0042-RLHYP,2014-05-01,No,Two year,No,Bank transfer (automatic),19.7,1396.9,,,,,,,,Female,0,Yes,Yes,No
0048-LUMLS,2017-01-01,No,One year,No,Credit card (automatic),91.2,3247.55,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No
0048-PIHNL,2016-01-01,No,One year,No,Bank transfer (automatic),20.45,900.9,,,,,,,,Female,0,Yes,No,No
0052-DCKON,2014-08-01,No,One year,No,Bank transfer (automatic),115.8,7942.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes
0052-YNYOT,2014-07-01,No,One year,No,Electronic check,20.55,1343.4,,,,,,,,Female,0,No,No,No
0056-EPFBG,2018-06-01,No,Two year,Yes,Credit card (automatic),39.4,825.4,DSL,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,
0057-QBUQH,2016-07-01,No,Two year,Yes,Electronic check,25.1,1070.15,,,,,,,,Female,0,No,Yes,Yes
0058-EVZWM,2015-07-01,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Fiber optic,Yes,No,No,No,Yes,No,Female,0,Yes,No,Yes
